,agerank2,Variety,variety2,Clade,agerank,Nutrient,soil,rep,id,Notes.,tuber,tuber2,tuber3,root,wgt_avg,obs,rel_biomass2
138,2,Huagalina,Huagalina,and,2,High,Virgin,3,398,,36.63,36.63,36.63,5.87,15.10774194,31,2.424584703
139,2,Wac 735,Wac 735,and,2,Low,Sterile,2,262,,41.84,41.84,41.84,6.21,15.10774194,31,2.769441004
140,2,EBS 1797,EBS 1797,and,2,Low,Hancock,3,206,,42.81,42.81,42.81,3.95,15.10774194,31,2.833646496
141,2,Wac 735,Wac 735,and,2,Low,Virgin,2,172,,47.92,47.92,47.92,3.42,15.10774194,31,3.171883674
142,2,Huagalina,Huagalina,and,2,Low,Hancock,4,257,,44.87,44.87,44.87,17.79,15.10774194,31,2.970000427
143,2,WAC 663,WAC 663,and,2,Low,Hancock,1,357,,26.47,26.47,26.47,1.12,15.10774194,31,1.752081821
144,2,WAC 5,WAC 5,and,2,Low,Sterile,2,210,,23.05,23.05,23.05,9.11,15.10774194,31,1.525707819
145,2,EBS 1797,EBS 1797,and,2,High,Hancock,4,335,,46.52,46.52,46.52,6.69,15.10774194,31,3.079215954
146,2,WAC 5,WAC 5,and,2,Low,Sterile,4,161,,22.55,22.55,22.55,1.25,15.10774194,31,1.492612205
147,2,Wac 735,Wac 735,and,2,High,Hancock,2,362,,46.15,46.15,46.15,1.77,15.10774194,31,3.0547252
148,2,Huagalina,Huagalina,and,2,Low,Virgin,3,166,,38.39,38.39,38.39,10.27,15.10774194,31,2.541081266
149,2,Wac 735,Wac 735,and,2,Low,Sterile,1,148,,30.88,30.88,30.88,4.95,15.10774194,31,2.043985139
150,2,Wac 735,Wac 735,and,2,Low,Hancock,3,332,,72.66,72.66,72.66,5.48,15.10774194,31,4.80945467
151,2,WAC 663,WAC 663,and,2,Low,Virgin,2,260,,48.04,48.04,48.04,1.96,15.10774194,31,3.179826622
152,2,Huagalina,Huagalina,and,2,Low,Hancock,1,65,,35.4,35.4,35.4,4.78,15.10774194,31,2.343169492
153,2,EBS 1797,EBS 1797,and,2,Low,Virgin,2,290,,39.45,39.45,39.45,3.3,15.10774194,31,2.611243968
154,2,WAC 663,WAC 663,and,2,Low,Hancock,3,231,,36.15,36.15,36.15,1.8,15.10774194,31,2.392812914
155,3,Cor C. 135-11,Cor C 135,chil,3,Low,Hancock,3,23,,NA,0,0,2.05,46.9462069,29,0
156,3,Cor C.95-21,Cor C95,chil,3,High,Virgin,1,177,,NA,0,0,22.78,46.9462069,29,0
157,3,P. Cacho-8,P. Cacho,chil,3,High,Sterile,4,100,,22.34,22.34,22.34,21.16,46.9462069,29,0.475863791
158,3,Cor C. 135-16,Cor C 135,chil,3,High,Hancock,4,182,,29.44,29.44,29.44,3.31,46.9462069,29,0.627100717
159,3,Cor C.56-24,Cor C56,chil,3,High,Virgin,4,68,,4.19,4.19,4.19,4.59,46.9462069,29,0.089251087
160,3,Cor C.95-2,Cor C95,chil,3,Low,Sterile,2,10,,18.35,18.35,18.35,1.12,46.9462069,29,0.390872899
161,3,Cor C.95-24,Cor C95,chil,3,High,Virgin,4,329,,NA,0,0,9.99,46.9462069,29,0
162,3,Cor C. 135-5,Cor C 135,chil,3,High,Sterile,1,330,,23.44,23.44,23.44,3.2,46.9462069,29,0.499294864
163,3,Cor C.95-7,Cor C95,chil,3,High,Sterile,3,333,,NA,0,0,13.96,46.9462069,29,0
164,3,Cor C.95-8,Cor C95,chil,3,High,Sterile,4,251,,NA,0,0,58.72,46.9462069,29,0
165,3,Cor C.95-9,Cor C95,chil,3,Low,Hancock,1,76,,19.64,19.64,19.64,5.19,46.9462069,29,0.418351158
166,3,Cor C.56-8,Cor C56,chil,3,High,Sterile,4,42,,20.16,20.16,20.16,7.6,46.9462069,29,0.429427665
167,3,Cor C.95-5,Cor C95,chil,3,High,Sterile,1,59,,NA,0,0,33.02,46.9462069,29,0
168,3,Cor C.95-13,Cor C95,chil,3,High,Hancock,1,244,,NA,0,0,16.63,46.9462069,29,0
169,3,Cor C. 135-2,Cor C 135,chil,3,Low,Sterile,2,318,,29.05,29.05,29.05,0.5,46.9462069,29,0.618793336
170,3,Cor C. 135-8,Cor C 135,chil,3,High,Sterile,4,241,,11.12,11.12,11.12,8.48,46.9462069,29,0.236866847
171,3,Cor C. 135-3,Cor C 135,chil,3,Low,Sterile,3,212,,39.38,39.38,39.38,2.1,46.9462069,29,0.838832413
172,3,Cor C. 135-18,Cor C 135,chil,3,Low,Virgin,2,146,,16.23,16.23,16.23,0.85,46.9462069,29,0.345714831
173,3,Cor C. 135-4,Cor C 135,chil,3,Low,Sterile,4,127,,11.96,11.96,11.96,0.32,46.9462069,29,0.254759666
174,3,Cor C.56-21,Cor C56,chil,3,High,Virgin,1,328,,40.42,40.42,40.42,5.48,46.9462069,29,0.860985427
175,3,Cor C.95-12,Cor C95,chil,3,Low,Hancock,4,41,,NA,0,0,2.42,46.9462069,29,0
176,3,Cor C.95-23,Cor C95,chil,3,High,Virgin,3,60,,NA,0,0,20.92,46.9462069,29,0
177,3,Cor C.56-13,Cor C56,chil,3,High,Hancock,1,11,,NA,0,0,2.91,46.9462069,29,0
178,3,Cor C. 135-17,Cor C 135,chil,3,Low,Virgin,1,58,,9.76,9.76,9.76,0.85,46.9462069,29,0.20789752
179,3,Cor C.95-14,Cor C95,chil,3,High,Hancock,2,266,,NA,0,0,44.26,46.9462069,29,0
180,3,Cor C.95-16,Cor C95,chil,3,High,Hancock,4,150,,NA,0,0,28.04,46.9462069,29,0
181,3,Cor C. 135-12,Cor C 135,chil,3,Low,Hancock,4,128,,15.77,15.77,15.77,0.35,46.9462069,29,0.335916383
182,3,Cor C.95-15,Cor C95,chil,3,High,Hancock,3,344,,NA,0,32.45,17.06,46.9462069,29,0.691216653
183,3,Cor C.95-3,Cor C95,chil,3,Low,Sterile,3,102,,45.34,45.34,45.34,3.54,46.9462069,29,0.965786226
184,3,Cor C.95-20,Cor C95,chil,3,Low,Virgin,4,188,,116.25,116.25,116.25,6.63,46.9462069,29,2.476238395
185,3,P. Cacho-16,P. Cacho,chil,3,High,Hancock,4,317,,116.85,116.85,116.85,4.18,46.9462069,29,2.48901898
186,3,Cor C.95-22,Cor C95,chil,3,High,Virgin,2,160,Flowering,NA,0,0,26.14,46.9462069,29,0
187,3,Cor C.56-18,Cor C56,chil,3,Low,Virgin,2,81,,30.2,30.2,30.2,1.92,46.9462069,29,0.643289458
188,3,Cor C. 135-20,Cor C 135,chil,3,Low,Virgin,4,371,,36.38,36.38,36.38,0.58,46.9462069,29,0.774929486
189,3,Cor C. 135-22,Cor C 135,chil,3,High,Virgin,2,402,,NA,0,101.84,0.73,46.9462069,29,2.169291339
190,3,Cor C.56-4,Cor C56,chil,3,Low,Sterile,4,138,,30.5,30.5,30.5,2.6,46.9462069,29,0.649679751
191,3,P. Cacho-5,P. Cacho,chil,3,High,Sterile,1,52,,30.65,30.65,30.65,8.66,46.9462069,29,0.652874897
192,3,P. Cacho-6,P. Cacho,chil,3,High,Sterile,2,26,,NA,0,0,9.96,46.9462069,29,0
193,3,Cor C.56-23,Cor C56,chil,3,High,Virgin,3,278,,76.96,76.96,76.96,5.94,46.9462069,29,1.63932307
194,3,Cor C.95-1,Cor C95,chil,3,Low,Sterile,1,279,,83.4,83.4,83.4,2.84,46.9462069,29,1.776501352
195,3,Cor C.95-6,Cor C95,chil,3,High,Sterile,2,271,,NA,0,0,20.01,46.9462069,29,0
196,3,Cor C.95-18,Cor C95,chil,3,Low,Virgin,2,346,,49.96,49.96,49.96,4.2,46.9462069,29,1.064196733
197,3,P. Cacho-24,P. Cacho,chil,3,High,Virgin,4,123,,49.96,49.96,49.96,12.97,46.9462069,29,1.064196733
198,3,Cor C. 135-9,Cor C 135,chil,3,Low,Hancock,1,66,,34.45,34.45,34.45,2.25,46.9462069,29,0.733818604
199,3,Cor C. 135-7,Cor C 135,chil,3,High,Sterile,3,255,,71.99,71.99,71.99,2.06,46.9462069,29,1.533457222
200,3,Cor C.56-15,Cor C56,chil,3,High,Hancock,3,224,,51.25,51.25,51.25,20.56,46.9462069,29,1.091674991
201,3,P. Cacho-7,P. Cacho,chil,3,High,Sterile,3,277,,67.45,67.45,67.45,11.12,46.9462069,29,1.436750793
202,3,Cor C. 135-15,Cor C 135,chil,3,High,Hancock,3,80,,13.22,13.22,13.22,2.95,46.9462069,29,0.281598895
203,3,Cor C. 135-21,Cor C 135,chil,3,High,Virgin,1,203,,53.95,53.95,53.95,5.41,46.9462069,29,1.149187625
204,3,P. Cacho-21,P. Cacho,chil,3,High,Virgin,1,56,,18.94,18.94,18.94,8.12,46.9462069,29,0.403440475
205,3,P. Cacho-14,P. Cacho,chil,3,High,Hancock,2,47,,36.78,36.78,36.78,5.4,46.9462069,29,0.783449877
206,3,Cor C.56-2,Cor C56,chil,3,Low,Sterile,2,378,,68.78,68.78,68.78,2.96,46.9462069,29,1.465081091
