Variety,variety2,Clade,agerank,agerank2,Nutrient,soil,rep,id,Notes:,tuber,tuber2,tuber3,root
Cor C.56-23,Cor C56,chil,3,3,High,Virgin,3,278,,76.96,76.96,76.96,5.94
Snowden,Snowden,elite,6,5,High,Sterile,3,275,,77.9,77.9,77.9,4.79
Ranger,Ranger,elite,6,5,Low,Sterile,4,291,,80.36,80.36,80.36,0.83
Burbank,Burbank,elite,5,5,Low,Virgin,4,272,,80.51,80.51,80.51,0.76
Garnet-24,Garnet,chil,4,4,High,Virgin,4,163,,80.57,80.57,80.57,4.34
Garnet-12,Garnet,chil,4,4,Low,Hancock,4,201,,81.04,81.04,81.04,0.75
Cor C.56-11,Cor C56,chil,3,3,Low,Hancock,3,225,,81.3,81.3,81.3,2.73
Norkodah,Norkodah,elite,6,5,Low,Virgin,3,354,,81.36,81.36,81.36,0.31
Cor C.95-4,Cor C95,chil,3,3,Low,Sterile,4,393,,81.54,81.54,81.54,7.73
Garnet-1,Garnet,chil,4,4,Low,Sterile,1,38,,47.93,47.93,81.77,0.48
Norkodah,Norkodah,elite,6,5,Low,Virgin,4,170,,81.82,81.82,81.82,0.29
Norkodah,Norkodah,elite,6,5,Low,Virgin,2,173,Yellow,82.55,82.55,82.55,0.5
Cor C.56-16,Cor C56,chil,3,3,High,Hancock,4,143,,82.8,82.8,82.8,11.04
Burbank,Burbank,elite,5,5,Low,Sterile,1,198,,83.16,83.16,83.16,0.72
Ranger,Ranger,elite,6,5,High,Hancock,4,298,,83.2,83.2,83.2,0.43
Cor C.95-1,Cor C95,chil,3,3,Low,Sterile,1,279,,83.4,83.4,83.4,2.84
Snowden,Snowden,elite,6,5,Low,Virgin,4,94,,,0,83.82,1.86
Cor C.56-20,Cor C56,chil,3,3,Low,Virgin,4,187,,84.02,84.02,84.02,3.81
Burbank,Burbank,elite,5,5,Low,Hancock,4,91,,84.11,84.11,84.11,0.86
Burbank,Burbank,elite,5,5,Low,Hancock,2,331,,84.91,84.91,84.91,0.71
Snowden,Snowden,elite,6,5,High,Sterile,4,395,,85.04,85.04,85.04,5.68
Garnet-9,Garnet,chil,4,4,Low,Hancock,1,74,,85.48,85.48,85.48,0.94
P. Cacho-20,P. Cacho,chil,3,3,Low,Virgin,4,95,,86.24,86.24,86.24,2.06
Snowden,Snowden,elite,6,5,Low,Hancock,3,199,,86.77,86.77,86.77,1.01
HAO 76-2,HAO 76,bert,1,1,Low,Sterile,2,383,,86.89,86.89,86.89,5
HAO 76-14,HAO 76,bert,1,1,High,Hancock,2,341,,87.4,87.4,87.4,15.32
P. Cacho-4,P. Cacho,chil,3,3,Low,Sterile,4,327,,88.36,88.36,88.36,1.56
Wac 735,Wac 735,and,2,2,Low,Hancock,2,352,,,0,88.63,1.73
HAO 76-21,HAO 76,bert,1,1,High,Virgin,1,288,,88.76,88.76,88.76,18.68
HAO 76-12,HAO 76,bert,1,1,Low,Hancock,4,363,,89.5,89.5,89.5,2.17
P. Cacho-3,P. Cacho,chil,3,3,Low,Sterile,3,404,,,0,89.81,1.17
Cor C. 135-24,Cor C 135,chil,3,3,High,Virgin,4,386,,90.56,90.56,90.56,2.79
Garnet-2,Garnet,chil,4,4,Low,Sterile,2,118,,90.73,90.73,90.73,1.22
P. Cacho-1,P. Cacho,chil,3,3,Low,Sterile,1,325,,90.75,90.75,90.75,2.59
Ranger,Ranger,elite,6,5,High,Hancock,2,35,,143.21,143.21,92.08,1.89
Cor C.56-9,Cor C56,chil,3,3,Low,Hancock,1,406,,94.05,94.05,94.05,2.14
Norkodah,Norkodah,elite,6,5,Low,Hancock,3,213,,94.5,94.5,94.5,1.23
Burbank,Burbank,elite,5,5,Low,Virgin,3,246,,94.82,94.82,94.82,1.44
Cor C.56-1,Cor C56,chil,3,3,Low,Sterile,1,294,,95.06,95.06,95.06,1.56
HAO 76-17,HAO 76,bert,1,1,Low,Virgin,1,372,,95.35,95.35,95.35,4.53
Cor C.95-10,Cor C95,chil,3,3,Low,Hancock,2,175,,96.12,96.12,96.12,2.11
