Variety,variety2,Clade,agerank,agerank2,agerank3,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tuber,tuber2,tuber3,root,dry_tuber
Wac 735,Wac 735,and,2,2,3,Low,Virgin,3,67,1,,11,11,11,1.7,3.361545394
Wac 735,Wac 735,and,2,2,3,Low,Sterile,4,98,2,,18.45,18.45,18.45,4.46,5.63822841
Wac 735,Wac 735,and,2,2,3,Low,Virgin,2,172,3,,47.92,47.92,47.92,3.42,14.64411412
Wac 735,Wac 735,and,2,2,3,High,Virgin,4,276,4,,0.22,0.22,0.22,6.46,0.067230908
Wac 735,Wac 735,and,2,2,3,Low,Virgin,4,312,4,,47.45,47.45,47.45,8.83,14.50048445
Wac 735,Wac 735,and,2,2,3,High,Sterile,3,334,4,,23.22,23.22,23.22,4.39,7.095916731
Wac 735,Wac 735,and,2,2,3,Low,Hancock,1,349,5,,,0,46.42,1.85,14.18572156
Wac 735,Wac 735,and,2,2,3,Low,Hancock,2,352,5,,,0,88.63,1.73,8.21
Wac 735,Wac 735,and,2,2,3,Low,Hancock,3,332,4,,72.66,72.66,72.66,5.48,11.98
Wac 735,Wac 735,and,2,2,3,Low,Sterile,2,262,3,,41.84,41.84,41.84,6.21,8.19
Wac 735,Wac 735,and,2,2,3,High,Hancock,2,362,5,,46.15,46.15,46.15,1.77,10.37
Wac 735,Wac 735,and,2,2,3,Low,Sterile,1,148,2,,30.88,30.88,30.88,4.95,11.25
Wac 735,Wac 735,and,2,2,3,Low,Sterile,3,48,1,,25.43,25.43,25.43,5.68,12.28
Wac 735,Wac 735,and,2,2,3,High,Virgin,3,7,1,,,0,10,7.02,6.14
Wac 735,Wac 735,and,2,2,3,Low,Virgin,1,3,1,,2.71,2.71,2.71,0.48,0.828162547
Wac 735,Wac 735,and,2,2,3,High,Sterile,1,62,1,,,0,0,13.95,0
Wac 735,Wac 735,and,2,2,3,High,Hancock,3,104,2,,,0,0,19.85,0
Wac 735,Wac 735,and,2,2,3,High,Hancock,1,121,2,,,0,0,25.52,0
Wac 735,Wac 735,and,2,2,3,High,Virgin,1,155,2,,,0,0,15.56,0
Wac 735,Wac 735,and,2,2,3,High,Virgin,2,171,3,,,0,0,13.25,0
Wac 735,Wac 735,and,2,2,3,High,Sterile,4,180,3,,,0,0,22.72,0
Wac 735,Wac 735,and,2,2,3,High,Sterile,2,265,4,,,0,0,8.28,0
Wac 735,Wac 735,and,2,2,3,High,Hancock,4,381,5,,,0,0,8.94,0
Cor C. 135-11,Cor C 135,chil,3,3,2,Low,Hancock,3,23,1,,,0,0,2.05,0
Cor C. 135-12,Cor C 135,chil,3,3,2,Low,Hancock,4,128,2,,15.77,15.77,15.77,0.35,4.94208145
Cor C. 135-15,Cor C 135,chil,3,3,2,High,Hancock,3,80,1,,13.22,13.22,13.22,2.95,4.1429497
Cor C. 135-16,Cor C 135,chil,3,3,2,High,Hancock,4,182,3,,29.44,29.44,29.44,3.31,9.2260544
Cor C. 135-17,Cor C 135,chil,3,3,2,Low,Virgin,1,58,1,,9.76,9.76,9.76,0.85,3.0586376
Cor C. 135-18,Cor C 135,chil,3,3,2,Low,Virgin,2,146,2,,16.23,16.23,16.23,0.85,5.08623855
Cor C. 135-19,Cor C 135,chil,3,3,2,Low,Virgin,3,287,4,,96.69,96.69,96.69,1.45,7.38
Cor C. 135-2,Cor C 135,chil,3,3,2,Low,Sterile,2,318,4,,29.05,29.05,29.05,0.5,12.03
Cor C. 135-20,Cor C 135,chil,3,3,2,Low,Virgin,4,371,5,,36.38,36.38,36.38,0.58,12.46
Cor C. 135-21,Cor C 135,chil,3,3,2,High,Virgin,1,203,3,,53.95,53.95,53.95,5.41,16.90712075
Cor C. 135-22,Cor C 135,chil,3,3,2,High,Virgin,2,402,5,,,0,101.84,0.73,31.9151284
Cor C. 135-24,Cor C 135,chil,3,3,2,High,Virgin,4,386,5,,90.56,90.56,90.56,2.79,28.3801456
Cor C. 135-3,Cor C 135,chil,3,3,2,Low,Sterile,3,212,3,,39.38,39.38,39.38,2.1,9.5
Cor C. 135-4,Cor C 135,chil,3,3,2,Low,Sterile,4,127,2,,11.96,11.96,11.96,0.32,3.7480846
Cor C. 135-5,Cor C 135,chil,3,3,2,High,Sterile,1,330,4,,23.44,23.44,23.44,3.2,11.55
Cor C. 135-7,Cor C 135,chil,3,3,2,High,Sterile,3,255,3,,71.99,71.99,71.99,2.06,22.56058615
Cor C. 135-8,Cor C 135,chil,3,3,2,High,Sterile,4,241,3,,11.12,11.12,11.12,8.48,3.4848412
Cor C. 135-9,Cor C 135,chil,3,3,2,Low,Hancock,1,66,1,,34.45,34.45,34.45,2.25,10.79611325
Cor C.56-1,Cor C56,chil,3,3,2,Low,Sterile,1,294,4,,95.06,95.06,95.06,1.56,32.83688285
Cor C.56-10,Cor C56,chil,3,3,2,Low,Hancock,2,191,3,,59.84,59.84,59.84,1.53,17.38
Cor C.56-11,Cor C56,chil,3,3,2,Low,Hancock,3,225,3,,81.3,81.3,81.3,2.73,28.0837216
Cor C.56-13,Cor C56,chil,3,3,2,High,Hancock,1,11,1,,,0,0,2.91,0
Cor C.56-15,Cor C56,chil,3,3,2,High,Hancock,3,224,3,,51.25,51.25,51.25,20.56,16.2
