Variety,variety2,Clade,agerank,agerank2,agerank3,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tubermass ,shoot,root,root:shoot,root:shoot_2,total_biomass
Huagalina,Huagalina,and,2,2,3,Low,Hancock,4,257,3,,44.87,7.82,17.79,2.274936061,0.337635225,70.48
WAC 663,WAC 663,and,2,2,3,Low,Virgin,2,260,3,,48.04,2.62,1.96,0.748091603,0.038689301,52.62
Wac 735,Wac 735,and,2,2,3,Low,Sterile,2,262,3,,41.84,,6.21,#DIV/0!,0.148422562,48.05
Wac 735,Wac 735,and,2,2,3,High,Sterile,2,265,4,,0,21.39,8.28,0.387096774,0.387096774,29.67
Huagalina,Huagalina,and,2,2,3,High,Virgin,4,268,4,,4.12,50.65,18.33,0.36189536,0.334672266,73.1
EBS 1797,EBS 1797,and,2,2,3,High,Virgin,3,269,4,,123.55,24.45,19.14,0.782822086,0.129324324,167.14
Huagalina,Huagalina,and,2,2,3,High,Hancock,2,273,4,,0,36.07,15.53,0.430551705,0.430551705,51.6
EBS 1797,EBS 1797,and,2,2,3,High,Hancock,3,274,4,,18.3,24.41,10.1,0.41376485,0.236478576,52.81
Wac 735,Wac 735,and,2,2,3,High,Virgin,4,276,4,,0.22,24.52,6.46,0.263458401,0.261115602,31.2
WAC 5,WAC 5,and,2,2,3,Low,Virgin,3,281,4,,63.57,4.43,4.91,1.108352144,0.072205882,72.91
WAC 5,WAC 5,and,2,2,3,High,Sterile,3,283,4,,0,35.86,51.85,1.445900725,1.445900725,87.71
EBS 1797,EBS 1797,and,2,2,3,Low,Virgin,4,285,4,,32.9,2.4,2.77,1.154166667,0.078470255,38.07
WAC 5,WAC 5,and,2,2,3,High,Sterile,4,289,4,,0,34.67,11.56,0.333429478,0.333429478,46.23
EBS 1797,EBS 1797,and,2,2,3,Low,Virgin,2,290,4,,39.45,4.45,3.3,0.741573034,0.075170843,47.2
WAC 5,WAC 5,and,2,2,3,High,Virgin,4,293,4,,3.26,32.63,6,0.183879865,0.167177487,41.89
WAC 663,WAC 663,and,2,2,3,Low,Virgin,1,295,4,,21.09,4.6,2.1,0.456521739,0.081743869,27.79
EBS 1797,EBS 1797,and,2,2,3,Low,Sterile,3,304,4,,36.78,5.02,18.26,3.637450199,0.436842105,60.06
WAC 5,WAC 5,and,2,2,3,High,Sterile,2,305,4,,0,,18.26,#DIV/0!,#DIV/0!,18.26
EBS 1797,EBS 1797,and,2,2,3,High,Virgin,4,306,4,,1.77,41.16,18.85,0.457968902,0.439086886,61.78
Huagalina,Huagalina,and,2,2,3,High,Hancock,4,307,4,,0,41.9,60.26,1.438186158,1.438186158,102.16
Wac 735,Wac 735,and,2,2,3,Low,Virgin,4,312,4,,47.45,4.1,8.83,2.153658537,0.17129001,60.38
WAC 5,WAC 5,and,2,2,3,Low,Virgin,2,324,4,,21.83,8.31,3.55,0.427196149,0.117783676,33.69
Wac 735,Wac 735,and,2,2,3,Low,Hancock,3,332,4,,72.66,4.18,5.48,1.311004785,0.071317022,82.32
Wac 735,Wac 735,and,2,2,3,High,Sterile,3,334,4,,23.22,30.01,4.39,0.146284572,0.08247229,57.62
EBS 1797,EBS 1797,and,2,2,3,High,Hancock,4,335,4,,46.52,24,6.69,0.27875,0.094866704,77.21
EBS 1797,EBS 1797,and,2,2,3,Low,Sterile,2,337,5,,38.3,5.01,2.89,0.576846307,0.066728238,46.2
Huagalina,Huagalina,and,2,2,3,Low,Sterile,4,338,5,,31.48,6.53,8.26,1.264931087,0.217311234,46.27
WAC 5,WAC 5,and,2,2,3,High,Hancock,4,342,5,,1.72,20.6,2.91,0.141262136,0.130376344,25.23
Wac 735,Wac 735,and,2,2,3,Low,Hancock,1,349,5,,46.42,7.58,1.85,0.244063325,0.034259259,55.85
Wac 735,Wac 735,and,2,2,3,Low,Hancock,2,352,5,,88.63,4.56,1.73,0.379385965,0.018564224,94.92
WAC 5,WAC 5,and,2,2,3,High,Hancock,3,353,5,,0,29.88,4.41,0.147590361,0.147590361,34.29
Huagalina,Huagalina,and,2,2,3,High,Sterile,4,355,5,,0,35.21,9.76,0.277193979,0.277193979,44.97
WAC 663,WAC 663,and,2,2,3,Low,Hancock,1,357,5,,26.47,8.74,1.12,0.128146453,0.031809145,36.33
EBS 1797,EBS 1797,and,2,2,3,Low,Hancock,2,361,5,,31.78,5.17,2.35,0.454545455,0.063599459,39.3
