Variety,variety2,Clade,agerank,agerank2,agerank3,agerank4,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tuber,tuber2,tuber3,root
Huagalina,Huagalina,and,2,2,3,4,High,Sterile,3,396,5,,16.84,16.84,16.84,9.25
Huagalina,Huagalina,and,2,2,3,4,Low,Sterile,1,397,5,,57.67,57.67,57.67,6.57
Huagalina,Huagalina,and,2,2,3,4,High,Virgin,3,398,5,,36.63,36.63,36.63,5.87
WAC 5,WAC 5,and,2,2,3,4,Low,Virgin,1,6,1,,10.71,10.71,10.71,1.27
WAC 5,WAC 5,and,2,2,3,4,Low,Hancock,4,50,1,,15.53,15.53,15.53,4.55
WAC 5,WAC 5,and,2,2,3,4,High,Virgin,3,64,1,,,0,0,9.4
WAC 5,WAC 5,and,2,2,3,4,High,Virgin,1,78,1,,,0,0,8.61
WAC 5,WAC 5,and,2,2,3,4,Low,Hancock,3,89,1,,8.62,8.62,8.62,8.61
WAC 5,WAC 5,and,2,2,3,4,Low,Sterile,4,161,2,,22.55,22.55,22.55,1.25
WAC 5,WAC 5,and,2,2,3,4,Low,Sterile,2,210,3,,23.05,23.05,23.05,9.11
WAC 5,WAC 5,and,2,2,3,4,Low,Virgin,4,215,3,,60.42,60.42,60.42,7.4
WAC 5,WAC 5,and,2,2,3,4,Low,Virgin,3,281,4,,63.57,63.57,63.57,4.91
WAC 5,WAC 5,and,2,2,3,4,High,Sterile,3,283,4,,,0,0,51.85
WAC 5,WAC 5,and,2,2,3,4,High,Sterile,4,289,4,,,0,0,11.56
WAC 5,WAC 5,and,2,2,3,4,High,Virgin,4,293,4,,3.26,3.26,3.26,6
WAC 5,WAC 5,and,2,2,3,4,High,Sterile,2,305,4,,,0,0,18.26
WAC 5,WAC 5,and,2,2,3,4,Low,Virgin,2,324,4,,21.83,21.83,21.83,3.55
WAC 5,WAC 5,and,2,2,3,4,High,Hancock,4,342,5,,1.72,1.72,1.72,2.91
WAC 5,WAC 5,and,2,2,3,4,High,Hancock,3,353,5,,,0,0,4.41
WAC 5,WAC 5,and,2,2,3,4,Low,Hancock,2,382,5,,30.44,30.44,30.44,4.97
WAC 663,WAC 663,and,2,2,3,4,Low,Sterile,1,9,1,,8.83,8.83,8.83,0.62
WAC 663,WAC 663,and,2,2,3,4,High,Virgin,4,13,1,,,0,0,6.37
WAC 663,WAC 663,and,2,2,3,4,Low,Sterile,2,70,1,Yellow,15.07,15.07,15.07,1.12
WAC 663,WAC 663,and,2,2,3,4,High,Sterile,4,83,1,,,0,0,9.4
WAC 663,WAC 663,and,2,2,3,4,High,Virgin,1,93,1,,,0,0,5.22
WAC 663,WAC 663,and,2,2,3,4,Low,Sterile,4,99,2,,25.13,25.13,25.13,1.2
WAC 663,WAC 663,and,2,2,3,4,High,Hancock,1,169,3,,,0,0,10.97
WAC 663,WAC 663,and,2,2,3,4,Low,Virgin,3,176,3,Yellow,21.52,21.52,21.52,1.5
WAC 663,WAC 663,and,2,2,3,4,Low,Virgin,4,178,3,,10.44,10.44,10.44,0.34
WAC 663,WAC 663,and,2,2,3,4,High,Hancock,4,194,3,,7.26,7.26,7.26,11.8
WAC 663,WAC 663,and,2,2,3,4,Low,Hancock,3,231,3,,36.15,36.15,36.15,1.8
WAC 663,WAC 663,and,2,2,3,4,High,Sterile,2,240,3,,,0,0,14.87
WAC 663,WAC 663,and,2,2,3,4,Low,Virgin,2,260,3,,48.04,48.04,48.04,1.96
WAC 663,WAC 663,and,2,2,3,4,Low,Virgin,1,295,4,,21.09,21.09,21.09,2.1
WAC 663,WAC 663,and,2,2,3,4,Low,Hancock,1,357,5,,26.47,26.47,26.47,1.12
WAC 663,WAC 663,and,2,2,3,4,Low,Sterile,3,374,5,,,0,1.62,0.67
WAC 663,WAC 663,and,2,2,3,4,High,Hancock,3,400,5,,,0,0,5.71
Wac 735,Wac 735,and,2,2,3,4,Low,Virgin,1,3,1,,2.71,2.71,2.71,0.48
Wac 735,Wac 735,and,2,2,3,4,High,Virgin,3,7,1,,,0,10,7.02
Wac 735,Wac 735,and,2,2,3,4,Low,Hancock,4,25,1,,6.61,6.61,6.61,2.88
Wac 735,Wac 735,and,2,2,3,4,Low,Sterile,3,48,1,,25.43,25.43,25.43,5.68
Wac 735,Wac 735,and,2,2,3,4,High,Sterile,1,62,1,,,0,0,13.95
Wac 735,Wac 735,and,2,2,3,4,Low,Virgin,3,67,1,,11,11,11,1.7
Wac 735,Wac 735,and,2,2,3,4,Low,Sterile,4,98,2,,18.45,18.45,18.45,4.46
Wac 735,Wac 735,and,2,2,3,4,High,Hancock,3,104,2,,,0,0,19.85
Wac 735,Wac 735,and,2,2,3,4,High,Hancock,1,121,2,,,0,0,25.52
Wac 735,Wac 735,and,2,2,3,4,Low,Sterile,1,148,2,,30.88,30.88,30.88,4.95
Wac 735,Wac 735,and,2,2,3,4,High,Virgin,1,155,2,,,0,0,15.56
Wac 735,Wac 735,and,2,2,3,4,High,Virgin,2,171,3,,,0,0,13.25
Wac 735,Wac 735,and,2,2,3,4,Low,Virgin,2,172,3,,47.92,47.92,47.92,3.42
Wac 735,Wac 735,and,2,2,3,4,High,Sterile,4,180,3,,,0,0,22.72
Wac 735,Wac 735,and,2,2,3,4,Low,Sterile,2,262,3,,41.84,41.84,41.84,6.21
Wac 735,Wac 735,and,2,2,3,4,High,Sterile,2,265,4,,,0,0,8.28
Wac 735,Wac 735,and,2,2,3,4,High,Virgin,4,276,4,,0.22,0.22,0.22,6.46
Wac 735,Wac 735,and,2,2,3,4,Low,Virgin,4,312,4,,47.45,47.45,47.45,8.83
Wac 735,Wac 735,and,2,2,3,4,Low,Hancock,3,332,4,,72.66,72.66,72.66,5.48
Wac 735,Wac 735,and,2,2,3,4,High,Sterile,3,334,4,,23.22,23.22,23.22,4.39
Wac 735,Wac 735,and,2,2,3,4,Low,Hancock,1,349,5,,,0,46.42,1.85
Wac 735,Wac 735,and,2,2,3,4,Low,Hancock,2,352,5,,,0,88.63,1.73
Wac 735,Wac 735,and,2,2,3,4,High,Hancock,2,362,5,,46.15,46.15,46.15,1.77
Wac 735,Wac 735,and,2,2,3,4,High,Hancock,4,381,5,,,0,0,8.94
Cor C. 135-11,Cor C 135,chil,3,3,2,3,Low,Hancock,3,23,1,,,0,0,2.05
Cor C. 135-17,Cor C 135,chil,3,3,2,3,Low,Virgin,1,58,1,,9.76,9.76,9.76,0.85
Cor C. 135-9,Cor C 135,chil,3,3,2,3,Low,Hancock,1,66,1,,34.45,34.45,34.45,2.25
Cor C. 135-15,Cor C 135,chil,3,3,2,3,High,Hancock,3,80,1,,13.22,13.22,13.22,2.95
Cor C. 135-4,Cor C 135,chil,3,3,2,3,Low,Sterile,4,127,2,,11.96,11.96,11.96,0.32
Cor C. 135-12,Cor C 135,chil,3,3,2,3,Low,Hancock,4,128,2,,15.77,15.77,15.77,0.35
Cor C. 135-18,Cor C 135,chil,3,3,2,3,Low,Virgin,2,146,2,,16.23,16.23,16.23,0.85
Cor C. 135-16,Cor C 135,chil,3,3,2,3,High,Hancock,4,182,3,,29.44,29.44,29.44,3.31
Cor C. 135-21,Cor C 135,chil,3,3,2,3,High,Virgin,1,203,3,,53.95,53.95,53.95,5.41
Cor C. 135-3,Cor C 135,chil,3,3,2,3,Low,Sterile,3,212,3,,39.38,39.38,39.38,2.1
Cor C. 135-8,Cor C 135,chil,3,3,2,3,High,Sterile,4,241,3,,11.12,11.12,11.12,8.48
Cor C. 135-7,Cor C 135,chil,3,3,2,3,High,Sterile,3,255,3,,71.99,71.99,71.99,2.06
Cor C. 135-19,Cor C 135,chil,3,3,2,3,Low,Virgin,3,287,4,,96.69,96.69,96.69,1.45
Cor C. 135-2,Cor C 135,chil,3,3,2,3,Low,Sterile,2,318,4,,29.05,29.05,29.05,0.5
Cor C. 135-5,Cor C 135,chil,3,3,2,3,High,Sterile,1,330,4,,23.44,23.44,23.44,3.2
Cor C. 135-20,Cor C 135,chil,3,3,2,3,Low,Virgin,4,371,5,,36.38,36.38,36.38,0.58
Cor C. 135-24,Cor C 135,chil,3,3,2,3,High,Virgin,4,386,5,,90.56,90.56,90.56,2.79
Cor C. 135-22,Cor C 135,chil,3,3,2,3,High,Virgin,2,402,5,,,0,101.84,0.73
Cor C.56-13,Cor C56,chil,3,3,2,3,High,Hancock,1,11,1,,,0,0,2.91
Cor C.56-8,Cor C56,chil,3,3,2,3,High,Sterile,4,42,1,,20.16,20.16,20.16,7.6
Cor C.56-24,Cor C56,chil,3,3,2,3,High,Virgin,4,68,1,,4.19,4.19,4.19,4.59
Cor C.56-18,Cor C56,chil,3,3,2,3,Low,Virgin,2,81,1,,30.2,30.2,30.2,1.92
Cor C.56-17,Cor C56,chil,3,3,2,3,Low,Virgin,1,130,2,,47.77,47.77,47.77,2.75
Cor C.56-4,Cor C56,chil,3,3,2,3,Low,Sterile,4,138,2,,30.5,30.5,30.5,2.6
Cor C.56-16,Cor C56,chil,3,3,2,3,High,Hancock,4,143,2,,82.8,82.8,82.8,11.04
Cor C.56-7,Cor C56,chil,3,3,2,3,High,Sterile,3,154,2,,29.54,29.54,29.54,7.78
Cor C.56-20,Cor C56,chil,3,3,2,3,Low,Virgin,4,187,3,,84.02,84.02,84.02,3.81
Cor C.56-10,Cor C56,chil,3,3,2,3,Low,Hancock,2,191,3,,59.84,59.84,59.84,1.53
Cor C.56-5,Cor C56,chil,3,3,2,3,High,Sterile,1,196,3,,74.15,74.15,74.15,7.91
Cor C.56-15,Cor C56,chil,3,3,2,3,High,Hancock,3,224,3,,51.25,51.25,51.25,20.56
Cor C.56-11,Cor C56,chil,3,3,2,3,Low,Hancock,3,225,3,,81.3,81.3,81.3,2.73
Cor C.56-23,Cor C56,chil,3,3,2,3,High,Virgin,3,278,4,,76.96,76.96,76.96,5.94
Cor C.56-1,Cor C56,chil,3,3,2,3,Low,Sterile,1,294,4,,95.06,95.06,95.06,1.56
