Variety,variety2,Clade,agerank,Nutrient,soil,rep,id,Notes:,tuber,tuber2,shoot,root,,,reltub
HAO 58-1,HAO 58,bert,1,Low,Sterile,1,239,,1.96,1.96,6.51,23.05,0.452917389,4.3275,0.452917389
HAO 58-2,HAO 58,bert,1,Low,Sterile,2,72,,,0,5.43,11.48,0,,0
HAO 58-3,HAO 58,bert,1,Low,Sterile,3,164,,15.35,15.35,8.69,15.5,3.547082611,,3.547082611
HAO 58-4,HAO 58,bert,1,Low,Sterile,4,8,,,0,5.24,15.06,0,,0
HAO 58-17,HAO 58,bert,1,Low,Virgin,1,149,,2.48,2.48,6.75,19.09,0.573079145,,0.573079145
HAO 58-18,HAO 58,bert,1,Low,Virgin,2,126,,1.82,1.82,5.71,15.66,0.420566147,,0.420566147
HAO 58-19,HAO 58,bert,1,Low,Virgin,3,97,,,0,4.86,11.65,0,,0
HAO 58-20,HAO 58,bert,1,Low,Virgin,4,14,,,0,3.44,7.69,0,,0
HAO 76-13,HAO 76,bert,1,High,Hancock,1,17,,0.76,0.76,28.31,7.12,0.012467192,,0.012467192
HAO 76-14,HAO 76,bert,1,High,Hancock,2,341,,87.4,87.4,37.21,15.32,1.433727034,,1.433727034
HAO 76-5,HAO 76,bert,1,High,Sterile,1,129,,,0,38.65,14.06,0,60.96,0
HAO 76-6,HAO 76,bert,1,High,Sterile,2,408,,105.27,105.27,24.88,6.7,1.726870079,,1.726870079
HAO 76-7,HAO 76,bert,1,High,Sterile,3,207,,66.58,66.58,30.33,12.92,1.092191601,,1.092191601
HAO 76-8,HAO 76,bert,1,High,Sterile,4,192,,71.99,71.99,39.43,12.43,1.18093832,,1.18093832
HAO 76-21,HAO 76,bert,1,High,Virgin,1,288,,88.76,88.76,39.65,18.68,1.456036745,,1.456036745
HAO 76-22,HAO 76,bert,1,High,Virgin,2,205,,58.77,58.77,30.81,13.04,0.964074803,,0.964074803
HAO 76-11,HAO 76,bert,1,Low,Hancock,3,45,,20.33,20.33,4.35,0.52,0.410914603,,0.410914603
HAO 76-12,HAO 76,bert,1,Low,Hancock,4,363,,89.5,89.5,7.41,2.17,1.808994442,,1.808994442
HAO 76-9,HAO 76,bert,1,Low,Hancock,1,385,,69.6,69.6,6.14,3.41,1.406771097,,1.406771097
HAO 76-1,HAO 76,bert,1,Low,Sterile,1,322,,68.72,68.72,4.5,3.43,1.388984336,49.475,1.388984336
HAO 76-2,HAO 76,bert,1,Low,Sterile,2,383,,86.89,86.89,7.53,5,1.756240526,,1.756240526
HAO 76-3,HAO 76,bert,1,Low,Sterile,3,31,,13.23,13.23,5.78,6.96,0.267407782,,0.267407782
HAO 76-4,HAO 76,bert,1,Low,Sterile,4,71,,29.06,29.06,2.25,1.82,0.587367357,,0.587367357
HAO 76-17,HAO 76,bert,1,Low,Virgin,1,372,,95.35,95.35,7.41,4.53,1.927235978,,1.927235978
HAO 76-18,HAO 76,bert,1,Low,Virgin,2,75,,8.2,8.2,2.49,1.33,0.165740273,,0.165740273
HAO 76-19,HAO 76,bert,1,Low,Virgin,3,24,,24.12,24.12,5.78,1.91,0.487518949,,0.487518949
HHA 6451-15,HHA 6451,bert,1,High,Hancock,3,376,,,0,40.87,22.62,0,,0
HHA 6451-5,HHA 6451,bert,1,High,Sterile,1,190,,,0,55.16,37.53,0,0.3875,0
HHA 6451-6,HHA 6451,bert,1,High,Sterile,2,55,Flowering,,0,46.17,13.27,0,,0
HHA 6451-7,HHA 6451,bert,1,High,Sterile,3,220,,,0,41.74,23.1,0,,0
HHA 6451-8,HHA 6451,bert,1,High,Sterile,4,139,Flowering,1.55,1.55,61.79,14.04,4,,4
HHA 6451-21,HHA 6451,bert,1,High,Virgin,1,184,,,0,62.96,26.06,0,,0
HHA 6451-23,HHA 6451,bert,1,High,Virgin,3,204,,,0,49.37,26.15,0,,0
HHA 6451-24,HHA 6451,bert,1,High,Virgin,4,368,,2.01,2.01,43.32,18.66,5.187096774,,5.187096774
HHA 6451-10,HHA 6451,bert,1,Low,Hancock,2,22,Flowering,,0,8.05,15.87,0,,0
HHA 6451-9,HHA 6451,bert,1,Low,Hancock,1,27,Flowering,,0,7.79,11.06,0,,0
HHA 6451-1,HHA 6451,bert,1,Low,Sterile,1,40,,,0,8.91,2.79,0,10.135,0
HHA 6451-2,HHA 6451,bert,1,Low,Sterile,2,351,,,0,8.14,7.49,0,,0
HHA 6451-3,HHA 6451,bert,1,Low,Sterile,3,280,,40.54,40.54,7.29,11.38,4,,4
HHA 6451-4,HHA 6451,bert,1,Low,Sterile,4,2,Flowering,,0,8.13,13.06,0,,0
HHA 6451-17,HHA 6451,bert,1,Low,Virgin,1,242,,,0,5.04,9.04,0,,0
HHA 6451-18,HHA 6451,bert,1,Low,Virgin,2,202,,6.75,6.75,10.36,17.11,0.66600888,,0.66600888
HHA 6451-19,HHA 6451,bert,1,Low,Virgin,3,286,,23.03,23.03,4.28,5.21,2.272323631,,2.272323631
HHA 6451-20,HHA 6451,bert,1,Low,Virgin,4,233,,16.62,16.62,8.97,15.46,1.639861865,,1.639861865
Cor C. 135-15,Cor C 135,chil,3,High,Hancock,3,80,,13.22,13.22,15.64,2.95,0.372219615,,0.372219615
Cor C. 135-16,Cor C 135,chil,3,High,Hancock,4,182,,29.44,29.44,15.88,3.31,0.828906617,,0.828906617
Cor C. 135-5,Cor C 135,chil,3,High,Sterile,1,330,,23.44,23.44,30.81,3.2,0.659971844,35.51666667,0.659971844
Cor C. 135-7,Cor C 135,chil,3,High,Sterile,3,255,,71.99,71.99,16.86,2.06,2.026935711,,2.026935711
Cor C. 135-8,Cor C 135,chil,3,High,Sterile,4,241,,11.12,11.12,27.39,8.48,0.313092445,,0.313092445
Cor C. 135-21,Cor C 135,chil,3,High,Virgin,1,203,,53.95,53.95,23.63,5.41,1.519005162,,1.519005162
Cor C. 135-22,Cor C 135,chil,3,High,Virgin,2,402,,,0,14.75,0.73,0,,0
Cor C. 135-24,Cor C 135,chil,3,High,Virgin,4,386,,90.56,90.56,14.84,2.79,2.549788832,,2.549788832
Cor C. 135-11,Cor C 135,chil,3,Low,Hancock,3,23,,,0,9.95,2.05,0,,0
Cor C. 135-12,Cor C 135,chil,3,Low,Hancock,4,128,,15.77,15.77,3.71,0.35,0.588506033,,0.588506033
Cor C. 135-9,Cor C 135,chil,3,Low,Hancock,1,66,,34.45,34.45,5,2.25,1.285607663,,1.285607663
Cor C. 135-2,Cor C 135,chil,3,Low,Sterile,2,318,,29.05,29.05,3.31,0.5,1.084090061,26.79666667,1.084090061
Cor C. 135-3,Cor C 135,chil,3,Low,Sterile,3,212,,39.38,39.38,2.48,2.1,1.469585769,,1.469585769
Cor C. 135-4,Cor C 135,chil,3,Low,Sterile,4,127,,11.96,11.96,1.88,0.32,0.44632417,,0.44632417
Cor C. 135-17,Cor C 135,chil,3,Low,Virgin,1,58,,9.76,9.76,3.13,0.85,0.364224406,,0.364224406
Cor C. 135-18,Cor C 135,chil,3,Low,Virgin,2,146,,16.23,16.23,2.9,0.85,0.605672347,,0.605672347
Cor C. 135-19,Cor C 135,chil,3,Low,Virgin,3,287,,96.69,96.69,3.03,1.45,3.608284613,,3.608284613
Cor C. 135-20,Cor C 135,chil,3,Low,Virgin,4,371,,36.38,36.38,4.4,0.58,1.357631546,,1.357631546
Cor C.56-13,Cor C56,chil,3,High,Hancock,1,11,,,0,33.9,2.91,0,,0
Cor C.56-15,Cor C56,chil,3,High,Hancock,3,224,,51.25,51.25,36.87,20.56,0.788704217,,0.788704217
Cor C.56-16,Cor C56,chil,3,High,Hancock,4,143,,82.8,82.8,53.2,11.04,1.274238227,,1.274238227
Cor C.56-5,Cor C56,chil,3,High,Sterile,1,196,,74.15,74.15,38.24,7.91,1.141120345,64.98,1.141120345
Cor C.56-6,Cor C56,chil,3,High,Sterile,2,313,,136.07,136.07,29.09,10.1,2.094028932,,2.094028932
Cor C.56-7,Cor C56,chil,3,High,Sterile,3,154,,29.54,29.54,33.33,7.78,0.454601416,,0.454601416
Cor C.56-8,Cor C56,chil,3,High,Sterile,4,42,,20.16,20.16,47.42,7.6,0.310249307,,0.310249307
Cor C.56-21,Cor C56,chil,3,High,Virgin,1,328,,40.42,40.42,33,5.48,0.62203755,,0.62203755
Cor C.56-23,Cor C56,chil,3,High,Virgin,3,278,,76.96,76.96,27.04,5.94,1.18436442,,1.18436442
Cor C.56-24,Cor C56,chil,3,High,Virgin,4,68,,4.19,4.19,38.89,4.59,0.064481379,,0.064481379
Cor C.56-10,Cor C56,chil,3,Low,Hancock,2,191,,59.84,59.84,4,1.53,0.923741896,,0.923741896
Cor C.56-11,Cor C56,chil,3,Low,Hancock,3,225,,81.3,81.3,4.41,2.73,1.255016981,,1.255016981
Cor C.56-9,Cor C56,chil,3,Low,Hancock,1,406,,94.05,94.05,8.88,2.14,1.451836987,,1.451836987
Cor C.56-1,Cor C56,chil,3,Low,Sterile,1,294,,95.06,95.06,4.82,1.56,1.467428219,64.78,1.467428219
Cor C.56-2,Cor C56,chil,3,Low,Sterile,2,378,,68.78,68.78,6.85,2.96,1.061747453,,1.061747453
Cor C.56-4,Cor C56,chil,3,Low,Sterile,4,138,,30.5,30.5,9.77,2.6,0.470824328,,0.470824328
Cor C.56-17,Cor C56,chil,3,Low,Virgin,1,130,,47.77,47.77,5.63,2.75,0.737418956,,0.737418956
Cor C.56-18,Cor C56,chil,3,Low,Virgin,2,81,,30.2,30.2,3.19,1.92,0.46619327,,0.46619327
Cor C.56-19,Cor C56,chil,3,Low,Virgin,3,315,,72.15,72.15,3.36,4.31,1.113769682,,1.113769682
Cor C.56-20,Cor C56,chil,3,Low,Virgin,4,187,,84.02,84.02,5.55,3.81,1.297005249,,1.297005249
Cor C.95-13,Cor C95,chil,3,High,Hancock,1,244,,,0,46.57,16.63,#DIV/0!,,
Cor C.95-14,Cor C95,chil,3,High,Hancock,2,266,,,0,55.85,44.26,#DIV/0!,,
Cor C.95-15,Cor C95,chil,3,High,Hancock,3,344,,,0,36.34,17.06,#DIV/0!,,
Cor C.95-16,Cor C95,chil,3,High,Hancock,4,150,,,0,44.45,28.04,#DIV/0!,,
Cor C.95-5,Cor C95,chil,3,High,Sterile,1,59,,,0,42.37,33.02,#DIV/0!,0,
Cor C.95-6,Cor C95,chil,3,High,Sterile,2,271,,,0,16.12,20.01,#DIV/0!,,
Cor C.95-7,Cor C95,chil,3,High,Sterile,3,333,,,0,34.7,13.96,#DIV/0!,,
Cor C.95-8,Cor C95,chil,3,High,Sterile,4,251,,,0,37.22,58.72,#DIV/0!,,
Cor C.95-21,Cor C95,chil,3,High,Virgin,1,177,,,0,47.66,22.78,#DIV/0!,,
Cor C.95-22,Cor C95,chil,3,High,Virgin,2,160,Flowering,,0,44.49,26.14,#DIV/0!,,
Cor C.95-23,Cor C95,chil,3,High,Virgin,3,60,,,0,38.17,20.92,#DIV/0!,,
Cor C.95-24,Cor C95,chil,3,High,Virgin,4,329,,,0,42.82,9.99,#DIV/0!,,
Cor C.95-10,Cor C95,chil,3,Low,Hancock,2,175,,96.12,96.12,6.79,2.11,1.681669072,,1.681669072
Cor C.95-11,Cor C95,chil,3,Low,Hancock,3,36,Flowering,30.26,30.26,7.92,6.92,0.529414338,,0.529414338
Cor C.95-12,Cor C95,chil,3,Low,Hancock,4,41,,,0,8.81,2.42,0,,0
Cor C.95-9,Cor C95,chil,3,Low,Hancock,1,76,,19.64,19.64,7.22,5.19,0.343611949,,0.343611949
Cor C.95-1,Cor C95,chil,3,Low,Sterile,1,279,,83.4,83.4,5.08,2.84,1.459126099,57.1575,1.459126099
Cor C.95-2,Cor C95,chil,3,Low,Sterile,2,10,,18.35,18.35,3.54,1.12,0.321042733,,0.321042733
Cor C.95-3,Cor C95,chil,3,Low,Sterile,3,102,,45.34,45.34,3.03,3.54,0.793246731,,0.793246731
Cor C.95-4,Cor C95,chil,3,Low,Sterile,4,393,,81.54,81.54,9.44,7.73,1.426584438,,1.426584438
Cor C.95-17,Cor C95,chil,3,Low,Virgin,1,264,,59.35,59.35,3.53,1.89,1.038358921,,1.038358921
Cor C.95-18,Cor C95,chil,3,Low,Virgin,2,346,,49.96,49.96,7.82,4.2,0.874076018,,0.874076018
Cor C.95-19,Cor C95,chil,3,Low,Virgin,3,124,,59.62,59.62,5.07,2.35,1.04308271,,1.04308271
Cor C.95-20,Cor C95,chil,3,Low,Virgin,4,188,,116.25,116.25,5.98,6.63,2.033853825,,2.033853825
Garnet-23,Garnet,chil,4,High,Virgin,3,296,,135.28,135.28,30.64,4.96,2.366793509,,2.366793509
Garnet-13,Garnet,chil,4,High,Hancock,1,157,,118.89,118.89,29.1,4.34,2.374120114,,2.374120114
